plan_vs_actual.dept_key,plan_vs_actual.division,plan_vs_actual.department,plan_vs_actual.channel,plan_vs_actual.fiscal_year,plan_vs_actual.fiscal_month,plan_vs_actual.fiscal_month_no,plan_vs_actual.has_actual,plan_vs_actual.plan_sales_dollars,plan_vs_actual.budget_sales_dollars,plan_vs_actual.budget_markdown_dollars,plan_vs_actual.budget_receipts_cost,plan_vs_actual.actual_sales_dollars,plan_vs_actual.plan_markdown_dollars,plan_vs_actual.actual_markdown_dollars,plan_vs_actual.actual_eom_retail,plan_vs_actual.plan_bom_retail,plan_vs_actual.plan_eom_retail,plan_vs_actual.plan_receipts_retail,plan_vs_actual.plan_shrink_dollars
Boys Tops,Boys,Tops,Ecommerce,2024,Jan,12,true,47556.78,49006.89,7182.72,0,40072.83,6642.57,6536.73,233890.52,280730.45,226340.88,0,190.23
Boys Tops,Boys,Tops,Wholesale,2025,Oct,9,true,47430.66,45835.83,903.79,32127.28,46912.92,1022.18,769.92,44183.27,27154.92,45152.76,66498.12,47.43
Girls Sets,Girls,Sets,Retail Stores,2026,Jul,6,true,47400.68,46232.47,5522.9,23414.88,50742.62,5117.55,7455.24,137083.01,130695.52,142346.7,64596.03,426.61
Boys Tops,Boys,Tops,Retail Stores,2026,Oct,9,false,47314.04,47564.27,5511.84,31631.08,,4305.77,,,107688.83,141761.61,86118.42,425.83
Boys Tops,Boys,Tops,Wholesale,2025,Jul,6,true,47169.54,47164.4,851.18,31642.03,51636.25,868.22,995.09,43290.38,34983.12,48189.25,61291.05,47.17
Girls Bottoms,Girls,Bottoms,Retail Stores,2025,Jun,5,true,47167.98,46176.5,4823.58,1902.58,48358.13,4863.71,5409.93,109541.52,143260.55,112236.01,21431.66,424.51
Girls Sets,Girls,Sets,Retail Stores,2025,Jun,5,true,47017.31,46176.5,4488.46,2979.81,51404.23,4547.59,6182,105214.02,141502.85,111767.24,22252.44,423.16
Baby Rompers,Baby,Rompers,Wholesale,2025,Feb,1,true,47000.14,46334.04,1017.6,40303.49,51154.59,838.84,866.12,38515.21,16581.2,47104.3,78409.08,47
Girls Sleepwear,Girls,Sleepwear,Wholesale,2025,Sep,8,true,46972.58,47081.37,943.42,28542.34,53071.91,1026.42,1233.12,24692.35,34247.75,39295.83,53094.05,46.97
Baby Rompers,Baby,Rompers,Retail Stores,2024,Nov,10,true,46955.21,45824.63,4363.03,34846.49,45202.56,4848.34,5326.56,146311.61,94773.26,141880.79,99333.68,422.6
Girls Tops,Girls,Tops,Retail Stores,2026,Jan,12,false,46793.76,52011.53,6126.27,0,,4314.7,,,285692.03,234162.43,0,421.14
Women Tops,Women,Tops,Ecommerce,2026,Mar,2,true,46747.23,47537.09,5928.13,23569.5,49560.62,6718.42,7423.22,112060.88,92535.11,113632.11,74749.64,186.99
Girls Sleepwear,Girls,Sleepwear,Wholesale,2026,Nov,10,false,46721.64,44973.92,983.89,8344.48,,945.87,,,76704.59,48411.37,19421.02,46.72
Baby Rompers,Baby,Rompers,Ecommerce,2024,Jan,12,true,46707.96,44106.2,6437.58,0,45513.8,5773.87,5675.09,195343.33,246729.73,194061.07,0,186.83
Women Dresses,Women,Dresses,Ecommerce,2025,Nov,10,true,46605.51,45606.42,6957.09,33863.43,53101.37,5843.39,4656.59,138076,89802.56,139845.28,102678.04,186.42
Girls Sets,Girls,Sets,Wholesale,2024,Oct,9,true,46568.2,46525.09,1035.17,34624.43,47548.65,1006.61,1285.69,49316.41,29258.12,47296.93,65660.18,46.57
Girls Sets,Girls,Sets,Retail Stores,2024,May,4,true,46429.55,44597.18,5334.39,17166.41,48769.3,4309.72,5045.63,127250.48,139113.07,128931.24,40975.32,417.87
Baby Accessories,Baby,Accessories,Ecommerce,2026,Nov,10,false,46402.69,47465.33,7092.79,36068.82,,7157.4,,,91380.06,140783.58,103149.21,185.61
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2024,Sep,8,true,46230.17,45347.29,5354.48,13199.67,48839.47,5489.4,5321.46,95549.82,123253.84,102019.42,30901.22,416.07
Boys Bottoms,Boys,Bottoms,Ecommerce,2024,Jul,6,true,46181.75,45739.77,6298.46,17551.39,46520.04,5308.48,5090.31,137042.87,125414.5,137265.53,63526,184.73
Girls Tops,Girls,Tops,Retail Stores,2024,Feb,1,true,46132.23,45415.48,5411.8,18447.37,44017.45,4306,3977.01,133182.06,127009.16,129790.98,53635.23,415.19
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2025,Dec,11,true,46050.36,47161.18,4442.02,12340.14,46231.39,4607.81,5191.7,105780.84,118856.61,108278.4,40494.41,414.45
Boys Tops,Boys,Tops,Wholesale,2024,Feb,1,true,46009.99,45159.89,1006.13,24976.65,40305.07,997.55,1080.99,47422.83,47868.49,47177.03,46362.09,46.01
Girls Swim,Girls,Swim,Ecommerce,2024,Jun,5,true,45925.78,44556.27,6537.66,4525.06,51701.79,5563.73,7190.37,95437.67,153875.23,102827.55,625.54,183.7
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2025,Jul,6,true,45908.73,45710.07,4615.26,18539.47,45688.86,4539.05,5286.09,132272.89,121391.56,131483.19,60952.59,413.18
Baby Rompers,Baby,Rompers,Retail Stores,2026,May,4,true,45868.8,46660.55,4800.48,15021.85,35394.52,5367.06,6542.28,141911.79,153203.81,130535.28,28980.15,412.82
Girls Bottoms,Girls,Bottoms,Wholesale,2024,Jun,5,true,45827.54,45513.67,937.04,33680.66,44722.66,938.24,1163.81,21589.86,18711.79,37537.05,65636.87,45.83
Girls Bottoms,Girls,Bottoms,Retail Stores,2025,Sep,8,true,45639.46,44310.78,4546.82,9469.89,46557.46,5004.03,5824.23,99013.48,126271.55,99908.12,24690.82,410.76
Girls Sets,Girls,Sets,Wholesale,2024,Mar,2,true,45619.14,43827.98,892.77,13831.34,45396.25,948.11,989.78,35994.88,53071.08,35484.65,29026.45,45.62
Girls Swim,Girls,Swim,Ecommerce,2025,Aug,7,true,45566.18,45150.35,6616.16,19368.88,42345.71,5639.38,5254.75,134022.69,127977.97,123618.99,47028.83,182.26
Boys Tops,Boys,Tops,Retail Stores,2025,May,4,true,45551.35,43936.48,4591.75,8740.45,42277.45,4144.29,4378.58,139715.28,139049.67,134053.35,45109.28,409.96
Boys Bottoms,Boys,Bottoms,Ecommerce,2025,Feb,1,true,45549.7,45935.79,5866.13,6655.27,50767.64,5875.08,6685.37,120328,158123.44,123417.08,16900.62,182.2
Girls Bottoms,Girls,Bottoms,Wholesale,2024,Mar,2,true,45442.86,43827.98,896.21,13505.58,46980,869.26,1131.91,34720.67,53799.57,36028.89,28586.89,45.44
Boys Tops,Boys,Tops,Retail Stores,2026,Sep,8,false,45419.01,45186.05,5347.95,10388.77,,5126.46,,,115313.14,107688.83,43329.93,408.77
Baby Accessories,Baby,Accessories,Ecommerce,2025,Dec,11,true,45330.07,43576.93,5317.59,14109.81,38312.63,6607.24,7278.93,109189.16,117437.99,102770.72,37451.36,181.32
Baby Rompers,Baby,Rompers,Wholesale,2026,Mar,2,true,45319.85,45855.76,854.15,14431.37,41142.17,839.78,781.12,39732.31,54747.23,37462.43,28920.15,45.32
Women Tops,Women,Tops,Ecommerce,2025,Apr,3,true,45269.02,44846.31,6068.15,28572.81,41215.91,6652.54,4721.04,150712.47,91424.77,134387.27,95065.14,181.08
Girls Bottoms,Girls,Bottoms,Retail Stores,2024,Mar,2,true,45250.69,43369.74,5214.06,20978.69,45717.54,5095.56,6273.36,105776.1,86594.09,104365.25,68524.66,407.26
Boys Bottoms,Boys,Bottoms,Ecommerce,2026,Jan,12,false,45213.75,46146.85,7058.24,0,,6404.43,,,249844.36,198045.33,0,180.85
Girls Tops,Girls,Tops,Retail Stores,2025,Jan,12,true,45201.55,44077.56,4846.98,0,41609.28,5104.95,4134.21,194350.23,240530.27,189816.96,0,406.81
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2026,Jan,12,false,45086.25,49443.05,7615.56,0,,6243.71,,,263787.58,212277.28,0,180.34
Baby Sets,Baby,Sets,Ecommerce,2026,Nov,10,false,45077.65,45205.08,6772.27,32359.88,,5764.52,,,86898.91,121902.16,86025.72,180.31
Boys Swim,Boys,Swim,Ecommerce,2026,Jun,5,true,44971.67,41437.99,4795.72,3258.67,40523.35,6086.82,5640.59,105645.43,141502.16,100267.16,10003.37,179.89
Girls Swim,Girls,Swim,Ecommerce,2024,Oct,9,true,44903.94,45006.33,5708.48,28515.27,45184.17,5909.51,7344.28,123977.18,91843.75,127089.5,86238.81,179.62
Girls Bottoms,Girls,Bottoms,Retail Stores,2024,May,4,true,44898.16,44597.18,4473.18,11748.05,51806.74,4935.1,5943.13,127964.57,134357.94,132929.58,48808.97,404.08
Boys Bottoms,Boys,Bottoms,Retail Stores,2025,Dec,11,true,44828.94,44017.1,4297.92,13375.92,49867.86,4746.43,5393.45,94579.35,119678.48,102330.94,32631.29,403.46
Boys Swim,Boys,Swim,Ecommerce,2026,Oct,9,false,44809.08,41856.55,5486.87,29735.36,,6372.59,,,95883.84,125768.6,81245.68,179.24
Girls Sets,Girls,Sets,Retail Stores,2025,Sep,8,true,44717.17,44310.78,5034.78,12824.46,42519.13,5302.65,5400.76,102504.32,121880.26,99384.91,27926.92,402.45
Boys Tops,Boys,Tops,Wholesale,2025,Jun,5,true,44576.81,44839.4,872.92,33345.23,42313.85,915.33,948.38,36104.02,18744.07,34983.12,61775.78,44.58
Baby Rompers,Baby,Rompers,Retail Stores,2026,Mar,2,true,44574.39,45376.31,5121.11,25420.8,40616.02,5289.16,5147.54,104628.94,85819.35,102932.75,67378.11,401.17
Women Bottoms,Women,Bottoms,Ecommerce,2026,Dec,11,false,44569.88,46640.16,6269.1,14404.97,,5577.09,,,113461.15,105883.21,42747.3,178.28
Girls Swim,Girls,Swim,Ecommerce,2026,Feb,1,true,44535.69,44801.46,5992.12,17338.32,43145.48,5873.46,6290.11,131672.48,146264.64,130703.66,35026.32,178.14
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2024,Feb,1,true,44332.18,43172.74,5788.3,17584.61,37204.13,5553.66,6887.31,139097.75,127828.06,132390.58,54625.69,177.33
Boys Swim,Boys,Swim,Ecommerce,2024,Nov,10,true,43987.89,44806.3,5339.97,29964.95,47370.01,6792.77,8828.3,112704.1,87962.57,119317.11,82311.14,175.95
Girls Sets,Girls,Sets,Retail Stores,2024,Mar,2,true,43947.74,43369.74,4706.46,21637.47,42468.77,4378.27,4901.75,101273.33,86317.9,104656.53,67060.17,395.53
Girls Sets,Girls,Sets,Wholesale,2024,Jun,5,true,43745.74,45513.67,963.82,33001.91,41595.69,830.35,946.22,39872.47,18092.37,33527.99,60055.46,43.75
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2025,Nov,10,true,43685.88,43533.4,4858.23,32582.33,45392.27,4107.52,4974.06,110204.33,87589.9,118856.61,79453.28,393.17
Boys Tops,Boys,Tops,Retail Stores,2025,Mar,2,true,43601.48,42727.22,5065.43,23031.04,47424.72,4974.66,6203.38,95671.59,80835.07,100489.63,68623.11,392.41
Women Tops,Women,Tops,Ecommerce,2026,Oct,9,false,43496.75,44846.31,6902.94,28294.66,,5457.19,,,97817.12,122060.6,73371.41,173.99
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2024,Aug,7,true,43453,42005.91,4615.05,20730.63,37597.9,4332.43,4987.3,122575.41,114552.73,123253.84,56877.61,391.08
Boys Tops,Boys,Tops,Wholesale,2025,Mar,2,true,43290.83,43178.68,767.21,12540.54,38584.06,867.63,943.92,37058.26,52498.62,32807.82,24510.94,43.29
Women Tops,Women,Tops,Ecommerce,2026,Jun,5,true,43225.48,44397.85,6010.13,1390.14,40661.66,6540.32,7177.36,98723.98,133246.2,95998.78,12691.28,172.9
Boys Bottoms,Boys,Bottoms,Wholesale,2026,Feb,1,true,42792.97,42524.36,757.36,36917.6,48710.29,946.37,839.07,36237.64,14409.01,44264.14,73637.27,42.79
Women Dresses,Women,Dresses,Ecommerce,2026,Apr,3,true,42755.9,44098.87,6813.03,32580.22,43891.14,5554.19,7131.89,124847.09,89367.88,126568.56,85681.79,171.02
Boys Sets,Boys,Sets,Ecommerce,2025,Dec,11,true,42731.15,41501.84,6122.53,12601.71,43075.39,5234.63,5416.58,96199.11,114715.34,98246.66,31668.02,170.92
Baby Rompers,Baby,Rompers,Wholesale,2025,Jul,6,true,42674.43,42447.96,844.52,28988.33,35534.92,902.56,1219.72,52765.37,33139.82,40501.02,50980.87,42.67
Baby Rompers,Baby,Rompers,Retail Stores,2025,Apr,3,true,42550.81,42807.84,4112.16,28213.44,41612.59,4594.24,5753.5,124820.05,84682.45,124722.7,87568.27,382.96
Girls Bottoms,Girls,Bottoms,Retail Stores,2026,Feb,1,true,42498.97,40728.6,4252.55,7228.37,43772.01,4939.52,4542.43,127327.22,142914,128944.97,33851.96,382.49
Girls Tops,Girls,Tops,Wholesale,2026,Aug,7,false,42494.87,47619.44,908.65,0,,938.81,,,87467.94,43991.77,0,42.49
Baby Sleepwear,Baby,Sleepwear,Wholesale,2026,Feb,1,true,42465.81,45561.81,911.18,39415.27,38547.59,783.02,810.85,36955.77,16066.09,41064.12,68289.31,42.47
Girls Tops,Girls,Tops,Wholesale,2024,Nov,10,true,42409.21,42985.14,937.56,8278.37,38856.32,794.93,860.63,43436.86,68777.01,40463.55,14933.09,42.41
Girls Swim,Girls,Swim,Ecommerce,2025,Jul,6,true,42387.17,43098.06,5450.77,20013.12,43336.2,6530.05,6503.42,126163.95,114754.99,127977.97,62309.76,169.55
Boys Swim,Boys,Swim,Ecommerce,2025,Apr,3,true,42382.31,41856.55,5374.23,28996.85,48769.11,5691.96,5973.21,110011.36,88760.1,117584.67,77068.37,169.53
Girls Swim,Girls,Swim,Ecommerce,2024,Sep,8,true,42300.74,42756.01,6301.51,10778.27,43770.56,5086.04,5954.77,88497.92,107699.41,91843.75,31700.32,169.2
Women Dresses,Women,Dresses,Ecommerce,2024,Dec,11,true,42257.55,43339.43,6075.55,13279.63,38237.09,6494.46,6833.37,95416.69,108903.41,94461.03,34478.66,169.03
Baby Sleepwear,Baby,Sleepwear,Ecommerce,2025,Jan,12,true,42200.31,41900.89,5145.66,0,43286.05,5163.03,6105.88,212182.62,261779.35,214247.2,0,168.8
Girls Swim,Girls,Swim,Retail Stores,2026,Dec,11,false,42175.11,42930.15,3967.22,8604.19,,5077.25,,,113983.39,99005.84,32654.38,379.58
Girls Sleepwear,Girls,Sleepwear,Wholesale,2024,Sep,8,true,42135.65,41299.45,805.9,23356.47,38998.66,935.8,1271.86,30966.2,29557.63,32216.13,45772.09,42.14
Baby Sets,Baby,Sets,Ecommerce,2025,Dec,11,true,42023.1,41501.84,5300.21,11461.36,42626.56,5274.24,6793.44,92561.54,117171.4,95188.38,25482.42,168.09
Girls Bottoms,Girls,Bottoms,Retail Stores,2025,Aug,7,true,41995.03,41045.77,4803.18,20253.79,43656,4953.93,5333.93,127134.51,111277.12,126271.55,62321.34,377.96
Boys Tops,Boys,Tops,Wholesale,2024,Jul,6,true,41969.65,41372.28,858.84,28108.43,37163.6,746.25,804.35,55525.73,30199.17,44150.54,56709.24,41.97
Women Tops,Women,Tops,Ecommerce,2026,Sep,8,false,41887.43,42603.99,5038.05,13700.15,,6260.08,,,110092.4,97817.12,36039.78,167.55
Boys Swim,Boys,Swim,Ecommerce,2026,Sep,8,false,41860.56,39763.73,4823.47,10446.88,,5266.86,,,116810.9,95883.84,26367.79,167.44
Boys Tops,Boys,Tops,Retail Stores,2025,Jun,5,true,41770.97,39905.61,4029.69,5832.21,40768.67,4331.93,4742.22,91579.2,134053.35,91452.62,3878.12,375.94
Boys Tops,Boys,Tops,Retail Stores,2026,Aug,7,false,41768.86,41856.55,4614.62,21258.03,,4543.16,,,114144.23,115313.14,47856.85,375.92
Baby Rompers,Baby,Rompers,Retail Stores,2026,Oct,9,false,41664.69,42807.84,4628.92,26195.48,,3819.97,,,90127.5,120282,76014.13,374.98
Baby Rompers,Baby,Rompers,Retail Stores,2026,Jun,5,true,41514.06,42379.76,4233.07,6615.87,43198.6,4411.95,4744.84,96448.93,130535.28,98656.83,14421.18,373.63
Women Tops,Women,Tops,Ecommerce,2025,May,4,true,41510.32,41425.83,5307.26,12793.18,44331.57,6134.15,7471.18,113591.11,134387.27,119130.38,32553.62,166.04
Girls Sets,Girls,Sets,Retail Stores,2026,Feb,1,true,41509.69,40728.6,4670.75,7039.26,40097.71,4074.45,5181.09,116726.25,129698.4,114342.2,30601.53,373.59
Girls Tops,Girls,Tops,Wholesale,2025,Aug,7,true,41433.43,40355.46,857.08,0,46286.1,709.71,900.24,35799.69,76141.11,40699.36,6742.83,41.43
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2026,Jan,12,false,41400.75,40453.41,4204.15,0,,3757.93,,,250808.28,205277,0,372.61
Girls Sets,Girls,Sets,Retail Stores,2024,Oct,9,true,41388.58,40914.85,4149.53,24417.89,43469.47,4535.14,3615.67,112826.39,86995.83,115478.67,74779.05,372.5
Baby Rompers,Baby,Rompers,Wholesale,2025,Jun,5,true,41375.12,40355.46,884.96,29936.24,40178.46,825.26,1020.38,32876.46,17650.36,33139.82,57731.21,41.38
Boys Tops,Boys,Tops,Retail Stores,2024,Apr,3,true,41182.79,41723.04,4231.56,26783.73,44231.5,3818.06,4533.8,98486.75,83567.99,121686.81,83490.32,370.65
Boys Tops,Boys,Tops,Wholesale,2026,Sep,8,false,40903.71,41152.6,722.31,22583.78,,782.86,,,27572.49,33740.51,47895.49,40.9
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2024,Dec,11,true,40875.7,41369.46,4329.99,7714.44,37895.54,4034.48,3671.32,97597.23,109422.89,96248.58,32103.75,367.88
Girls Sets,Girls,Sets,Retail Stores,2024,Jun,5,true,40778.69,40505.7,3656.7,3020.88,38240.46,4358.7,5459.02,92756.94,128931.24,92106.34,8679.5,367.01
Women Bottoms,Women,Bottoms,Ecommerce,2026,Nov,10,false,40773.04,43052.46,5122.09,30678.76,,5797.23,,,83120.75,113461.15,77073.76,163.09
Girls Sets,Girls,Sets,Retail Stores,2025,Aug,7,true,40769.96,41045.77,4954.79,19225.31,40938.9,3685.18,3596.02,120538.23,106040,121880.26,60662.33,366.93
Girls Bottoms,Girls,Bottoms,Retail Stores,2024,Jun,5,true,40761.76,40505.7,3762.95,2614.9,46817.14,4014.18,4622.87,82269.38,132929.58,89003.39,1216.61,366.86
Girls Bottoms,Girls,Bottoms,Wholesale,2026,Nov,10,false,40749.21,38549.07,805.41,9270.2,,698.77,,,66761.42,40956.74,15684.05,40.75
Baby Rompers,Baby,Rompers,Wholesale,2025,Oct,9,true,40652.67,41252.25,800.17,31383.77,43196.27,876.94,886.37,37976.03,25839,41382.4,57113.67,40.65
Women Dresses,Women,Dresses,Ecommerce,2026,May,4,true,40564.76,40735.4,5401.35,11631.71,42289.27,5029.11,5431.41,120215.49,126568.56,122265.92,41453.49,162.26
Boys Tops,Boys,Tops,Retail Stores,2025,Oct,9,true,40438.15,40308.7,4734.54,25447.82,42007.51,3771.37,4664.44,118295.79,86883.38,122230.11,79920.19,363.94
Women Bottoms,Women,Bottoms,Ecommerce,2025,Dec,11,true,40429.37,39525.56,5890.34,9235.62,36471.82,5590.55,5225.24,93639.87,111280.91,88017.45,22918.18,161.72
Girls Sets,Girls,Sets,Wholesale,2025,Sep,8,true,40380.17,40355.46,913.09,24237.3,40822.32,713.4,713.93,38306.48,27298.82,32347.01,46182.14,40.38
Baby Rompers,Baby,Rompers,Wholesale,2024,Feb,1,true,40318.84,40643.9,809.07,21302.35,41781.26,820.25,655.16,47923.49,43246,41969.73,39903.14,40.32
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2024,Jul,6,true,40201.73,40096.55,4245.66,16898.34,41114.6,4652.1,5556.21,117593.43,108090.19,114552.73,51678.19,361.82
Baby Rompers,Baby,Rompers,Retail Stores,2025,May,4,true,40184.74,39542.83,3964.95,13738.08,40883.98,3599,4321.69,108287.91,124722.7,110400.04,29822.74,361.66
Girls Sleepwear,Girls,Sleepwear,Retail Stores,2025,Feb,1,true,40167.2,40268.39,4632.98,10596.63,39347.57,3979.33,4963.5,117927.02,139626.02,116619.7,21501.71,361.5
Women Tops,Women,Tops,Ecommerce,2025,Mar,2,true,40097.38,40285.67,6187.24,21031.14,38125.9,4805.23,5469.46,93469.01,84719.24,91424.77,51768.52,160.39
Women Tops,Women,Tops,Ecommerce,2024,Apr,3,true,40096.78,39338.87,5001.86,26138.75,40374.59,6098.6,6453.35,108831.74,79936.66,111890.99,78310.1,160.39
Baby Rompers,Baby,Rompers,Retail Stores,2026,Sep,8,false,40073.69,40667.45,4010.17,12577.48,,4534.26,,,107731.56,90127.5,27364.56,360.66
Girls Bottoms,Girls,Bottoms,Retail Stores,2024,Oct,9,true,40070.63,40914.85,4671.61,29190.69,37384.08,4167.98,4475.19,111855.34,86767.4,108300.4,66132.24,360.64
Boys Bottoms,Boys,Bottoms,Ecommerce,2024,Feb,1,true,40030.04,40294.56,5765.84,16012.59,43433.94,5336.91,6598.36,117274.99,123350.28,119955.46,42132.25,160.12
Boys Tops,Boys,Tops,Retail Stores,2026,Jul,6,true,39988.56,39953.98,4422.51,16240.81,39935.99,4567.29,6287.32,109538.17,109924.73,114144.23,49135.25,359.9
Women Dresses,Women,Dresses,Ecommerce,2024,Nov,10,true,39747.4,40005.63,4918.23,30343.32,39846.78,5807.1,5750.71,108239.28,76567.76,108903.41,78049.14,158.99
Girls Swim,Girls,Swim,Ecommerce,2025,Feb,1,true,39708.5,37967.34,4501.73,10698.28,34012.74,5779.25,6654.95,118606.14,137758.15,114360.11,22248.55,158.83
Boys Tops,Boys,Tops,Wholesale,2024,Oct,9,true,39707.59,40206.87,798.22,28723.83,41204.95,864.56,1002.19,36013.6,25242.55,40562,55931.31,39.71
Boys Swim,Boys,Swim,Ecommerce,2026,Aug,7,false,39672.42,36833.77,5111.63,16337.39,,5722.81,,,103355.65,116810.9,59009.18,158.69
Baby Accessories,Baby,Accessories,Ecommerce,2025,Nov,10,true,39632.1,40224.86,4905.28,27723.76,35659.98,5086.41,4306.86,127012.11,83292.64,117437.99,79022.39,158.53
Boys Tops,Boys,Tops,Wholesale,2024,Jun,5,true,39592.72,39332.81,850.53,28506.77,43169.76,868.81,1015.63,25790.56,16428.41,30199.17,54271.89,39.59
Boys Swim,Boys,Swim,Ecommerce,2025,May,4,true,39525.07,38664.11,5470.23,15555.23,42339.08,5761.04,4946.44,113588.4,117584.67,119521.22,47380.76,158.1
Girls Swim,Girls,Swim,Retail Stores,2026,Nov,10,false,39477.2,39627.83,4283.07,30583.42,,3631.77,,,78520.42,113983.39,78927.23,355.29
Girls Bottoms,Girls,Bottoms,Wholesale,2025,Sep,8,true,39474.02,40355.46,882.45,24618.36,38736.92,867.65,1126.34,36412.45,27568.98,32900.32,45712.49,39.47
Boys Bottoms,Boys,Bottoms,Retail Stores,2024,Dec,11,true,39456.49,38611.49,3591.04,9138.67,44689.59,4274.06,3965.96,88926.84,103802.28,94232.59,34515.96,355.11
Girls Swim,Girls,Swim,Ecommerce,2024,Aug,7,true,39441.53,39605.57,5231.73,17728.78,40741.95,5234.26,5668.94,102517.96,115534.74,107699.41,36998.23,157.77
Boys Sets,Boys,Sets,Ecommerce,2025,Nov,10,true,39390.91,38309.39,4644.69,25367.9,41482.48,5452.36,5115.17,124813.14,75369.49,114715.34,84346.68,157.56
Boys Bottoms,Boys,Bottoms,Retail Stores,2026,Apr,3,true,39381.6,39288.08,4066.07,27623.98,42788.44,4374.48,4831.6,114665.47,82224.71,117384.02,79269.82,354.43
Women Dresses,Women,Dresses,Ecommerce,2026,Mar,2,true,39356.79,39614.24,5742.22,21781.71,38583.36,5957.56,5309.62,87342.06,77358.47,89367.88,57481.19,157.43
Baby Sets,Baby,Sets,Ecommerce,2025,Nov,10,true,39324.13,38309.39,4950.35,26414.75,38345.53,5831.76,7035.56,108963.9,74277.13,117171.4,88207.46,157.3
Boys Tops,Boys,Tops,Retail Stores,2024,May,4,true,39292.3,38540.77,3531.03,13715.73,40169.71,3873.92,5587.77,113693.74,121686.81,115180.21,37013.25,353.63
Boys Bottoms,Boys,Bottoms,Retail Stores,2025,Nov,10,true,39286.21,40631.17,3865.55,26929.22,35643.29,4593.25,4473.69,125283.21,83628.4,119678.48,80283.11,353.58
Girls Sets,Girls,Sets,Wholesale,2026,Nov,10,false,39171.78,38549.07,812.76,7298.47,,781.35,,,67576.77,40962.98,13378.5,39.17
Baby Rompers,Baby,Rompers,Wholesale,2025,Mar,2,true,39138.53,38860.81,661.65,13069.16,41634.33,897.68,1035.74,28548.66,47104.3,31062.35,24033.4,39.14
Baby Sleepwear,Baby,Sleepwear,Retail Stores,2026,Apr,3,true,39126.13,42094.38,4495.52,28319.59,42165.79,4660.46,4944.64,115005.27,76759.6,116933.56,84312.68,352.14
Boys Bottoms,Boys,Bottoms,Wholesale,2026,Jul,6,true,39115.49,38957.8,823.43,25683.88,40959.64,746.2,884.37,30062.97,28387.34,37466.41,48979.87,39.12
Boys Tops,Boys,Tops,Retail Stores,2025,Sep,8,true,38960.34,38293.27,4279.98,7531.93,43061.89,4468.23,4671.05,83127.2,106571.09,86883.38,24091.51,350.64
Girls Tops,Girls,Tops,Retail Stores,2024,Jan,12,true,38952.52,38664.53,3873.8,0,28470.98,3477.63,4487.9,179664.78,212873.78,170093.06,0,350.57
Boys Sets,Boys,Sets,Ecommerce,2026,Apr,3,true,38794.69,37043.05,4495.34,26728.27,41160.67,5300.54,5712.71,95046.57,79064,111442.76,76629.17,155.18
Women Tops,Women,Tops,Ecommerce,2026,Aug,7,false,38769.31,39464.75,4690.64,17426.69,,5311.29,,,111346.2,110092.4,42981.88,155.08
Girls Tops,Girls,Tops,Wholesale,2026,Jan,12,false,38723.15,42857.5,968.18,28669.58,,668.9,,,28174,38423.64,49680.41,38.72
Boys Tops,Boys,Tops,Wholesale,2024,Mar,2,true,38687.91,37876.03,815.37,11710.81,40870.65,668.53,757.83,26317.72,47177.03,29379.19,21597.28,38.69
Baby Sleepwear,Baby,Sleepwear,Wholesale,2025,Feb,1,true,38649.56,38611.7,681.83,32902.46,37083.24,854.6,895.35,40197.02,12913.7,38663.72,65292.83,38.65
Boys Bottoms,Boys,Bottoms,Ecommerce,2025,Jan,12,true,38610.52,39107.5,5557.29,0,38586.8,4570.38,5264.29,174782.47,218807.25,175471.91,0,154.44
Girls Bottoms,Girls,Bottoms,Retail Stores,2024,Sep,8,true,38585.88,38869.1,4127.41,8034.34,42503.08,3802.63,5016.07,81790.63,113024.99,86767.4,16478.2,347.27
Girls Bottoms,Girls,Bottoms,Retail Stores,2025,Jul,6,true,38582.9,39180.06,4139.72,18411.07,38659.6,4284.36,4367.6,111952.99,112236.01,111277.12,42255.61,347.25
Baby Sleepwear,Baby,Sleepwear,Wholesale,2026,Jul,6,true,38554.56,41740.5,957.83,27366.34,41843.3,764.46,793.06,32787.38,27584.79,36325.67,48098.45,38.55
Women Tops,Women,Tops,Ecommerce,2025,Jun,5,true,38522.76,37625.29,5053.94,4715.7,42251.05,5979.54,7422.04,77864.99,119130.38,83573.33,9099.33,154.09
